,id,Name,Year,Rating,tags
71,71,Playtime,1967,7.8,"jacqu tati jacqu tati barbara dennek rita maiden franc rumilli comedi monsieur hulot curious wander around a high-tech paris, parallel a trip with a group of american tourists. meanwhile, a nightclub/restaur prepar it open night, but it' still under construction."
72,72,Harakiri,1962,8.6,"masaki kobayashi tatsuya nakadai akira ishihama shima iwashita tetsurô tanba action, drama, mysteri when a ronin request seppuku at a feudal lord' palac is told of the brutal suicid of anoth ronin who previous visited, he reveal how their past are intertwin - and in do so challeng the clan' integrity."
73,73,The Shop Around the Corner,1940,8,"ernst lubitsch margaret sullavan jame stewart frank morgan joseph schildkraut comedy, drama, romanc two employe at a gift shop can bare stand each other, without realiz that they are fall in love through the post as each other' anonym pen pal."
74,74,Sherlock Jr.,1924,8.2,"buster keaton buster keaton kathryn mcguir joe keaton erwin connelli action, comedy, romanc a film projectionist long to be a detective, and put hi meagr skill to work when he is frame by a rival for steal hi girlfriend' father' pocketwatch."
75,75,The Bridge on the River Kwai,1957,8.1,"david lean william holden alec guin jack hawkin sessu hayakawa adventure, drama, war british pow are forc to build a railway bridg across the river kwai for their japanes captor in occupi burma, not know that the alli forc are plan a dare commando raid through the jungl to destroy it."
76,76,Army of Shadows,1969,8.1,"jean-pierr melvil lino ventura paul meuriss jean-pierr cassel simon signoret drama, war an account of underground resist fighter in nazi-occupi france."
77,77,High and Low,1963,8.4,"akira kurosawa toshirô mifun yutaka sada tatsuya nakadai kyôko kagawa crime, drama, mysteri an execut of a yokohama shoe compani becom a victim of extort when hi chauffeur' son is kidnap by mistak and held for ransom."
78,78,Barry Lyndon,1975,8.1,"stanley kubrick ryan o'neal marisa berenson patrick mage hardi krüger adventure, drama, war an irish rogu win the heart of a rich widow and assum her dead husband' aristocrat posit in 18th-centuri england."
79,79,Fanny and Alexander,1982,8.1,"ingmar bergman bertil guve pernilla allwin kristina adolphson börje ahlstedt drama two young swedish children in the 1900 experi the mani comedi and tragedi of their live and affection theatric family, the ekdahls."
80,80,The Lady Eve,1941,7.7,"preston sturg barbara stanwyck henri fonda charl coburn eugen pallett comedy, romanc a trio of classi card shark target a social awkward breweri heir, until one of them fall in love with him."
81,81,The Searchers,1956,7.8,"john ford john wayn jeffrey hunter vera mile ward bond adventure, drama, western an american civil war veteran embark on a years-long journey to rescu hi niec from the comanch after the rest of hi brother' famili is massacr in a raid on their texa farm."
82,82,Stagecoach,1939,7.8,"john ford john wayn clair trevor andi devin john carradin adventure, drama, western a group of peopl travel on a stagecoach find their journey complic by the threat of geronimo and learn someth about each other in the process."
83,83,The General,1926,8.1,"clyde bruckman buster keaton buster keaton marion mack glen cavend jim farley action, adventure, comedi after be reject by the confeder military, not realiz it wa due to hi crucial civilian role, an engin must single-handedli recaptur hi belov locomot after it is seiz by union spi and return it through enemi lines."
84,84,Wild Strawberries,1957,8.1,"ingmar bergman victor sjöström bibi andersson ingrid thulin gunnar björnstrand drama, romanc after live a life mark by coldness, an age professor is forc to confront the empti of hi existence."
85,85,Yojimbo,1961,8.2,"akira kurosawa toshirô mifun eijirô tôno tatsuya nakadai yôko tsukasa action, drama, thriller a crafti ronin come to a town divid by two crimin gang and decid to play them against each other to free the town."
86,86,King Kong,1933,7.9,"merian c. cooper ernest b. schoedsack fay wray robert armstrong bruce cabot frank reicher adventure, horror a film crew goe to a tropic island for a locat shoot, where they captur a coloss ape who take a shine to their blond starlet, and bring him back to new york city."
87,87,Fantasia,1940,7.7,"jame algar samuel armstrong ford beeb jr. norman ferguson david hand jim handley t. hee wilfr jackson hamilton lusk bill robert paul satterfield ben sharpsteen leopold stokowski deem taylor the philadelphia orchestra corey burton animation, family, fantasi a seri of eight famou piec of classic music, conduct by <a href=""/name/nm0831439"">leopold stokowski</a> and interpret in anim by <a href=""/name/nm0000370"">walt disney</a>' team of artists."
88,88,The Man Who Shot Liberty Valance,1962,8.1,"john ford jame stewart john wayn vera mile lee marvin drama, western a senat return to a western town for the funer of an old friend and tell the stori of hi origins."
89,89,Umberto D.,1952,8.2,vittorio de sica carlo battisti maria pia casilio lina gennari ileana simova drama an elderli man and hi dog struggl to surviv on hi govern pension in rome.
90,90,Balthazar,1966,7.8,robert bresson ann wiazemski walter green françoi lafarg jean-claud guilbert drama the stori of a mistreat donkey and the peopl around him. a studi on saintli and a sister piec to bresson' mouchette.
91,91,A Streetcar Named Desire,1951,7.9,elia kazan vivien leigh marlon brando kim hunter karl malden drama disturb blanch duboi move in with her sister in new orlean and is torment by her brutish brother-in-law while her realiti crumbl around her.
92,92,"I Was Born, But...",1932,7.9,"yasujirô ozu tatsuo saitô tomio aoki mitsuko yoshikawa hideo sugawara comedy, drama two young brother throw a tantrum when they discov that their father isn't the most import man in hi workplace."
93,93,Chinatown,1974,8.1,"roman polanski jack nicholson fay dunaway john huston perri lopez drama, mystery, thriller a privat detect hire to expos an adulter in 1930 lo angel find himself caught up in a web of deceit, corruption, and murder."
94,94,How Green Was My Valley,1941,7.7,"john ford walter pidgeon maureen o'hara anna lee donald crisp drama, famili at the turn of the centuri in a welsh mine village, the morgans, he stern, she gentle, rais coal-min son and hope their youngest will find a better life."
95,95,Shoah,1985,8.7,"claud lanzmann simon srebnik michael podchlebnik motk zaïdl hanna zaïdl documentary, history, war <a href=""/name/nm0487351"">claud lanzmann</a>' epic documentari recount the stori of the holocaust through interview with wit - perpetr as well as survivors."
96,96,The Great Dictator,1940,8.4,"charl chaplin charl chaplin paulett goddard jack oaki reginald gardin comedy, drama, war dictat adenoid hynkel tri to expand hi empir while a poor jewish barber tri to avoid persecut from hynkel' regime."
97,97,Annie Hall,1977,8,"woodi allen woodi allen dian keaton toni robert carol kane comedy, romanc alvi singer, a divorc jewish comedian, reflect on hi relationship with ex-lov anni hall, an aspir nightclub singer, which end abruptli just like hi previou marriages."
