,id,Name,Year,Rating,Genre,Actors,Director,One-line
1116,1116,Lone Wolf and Cub: Baby Cart at the River Styx,1972,7.9,"Action, Adventure, Drama            ","['Tomisaburô Wakayama', 'Kayo Matsuo', 'Minoru Ôki', 'Akiji Kobayashi']",Kenji Misumi,"Trailed by a clan of female ninja, Ogami is paid to assassinate a clan traitor accompanied by three killers known as the Gods of Death."
1117,1117,Friendly Persuasion,1956,7.3,"Drama, Family, Romance            ","['Gary Cooper', 'Dorothy McGuire', 'Anthony Perkins', 'Richard Eyer']",William Wyler,The pacifist attitude of a Quaker family is tested as a result of the American Civil War.
1118,1118,Overlord,1975,7.1,"Drama, History, War            ","['Brian Stirner', 'Davyd Harries', 'Nicholas Ball', 'Julie Neesam']",Stuart Cooper,"During World War 2, a young lad's called up and, with increasing sense of foreboding, undertakes his army training for D-day."
1119,1119,A Story of Floating Weeds,1934,7.7,Drama            ,"['Takeshi Sakamoto', 'Chôko Iida', 'Kôji Mitsui', 'Emiko Yagumo']",Yasujirô Ozu,A kabuki actor's mistress hatches a jealous plot to bring down her lover's son.
1120,1120,The Swimmer,1968,7.6,Drama            ,"['Sydney Pollack', 'Burt Lancaster', 'Janet Landgard', 'Janice Rule', 'Tony Bickley']",Frank Perry,A man spends a summer day swimming as many pools as he can all over a quiet suburban town.
1121,1121,Salvatore Giuliano,1962,7.3,"Crime, Drama, History            ","['Frank Wolff', 'Salvo Randone', 'Frederico Zardi', 'Pippo Agusta']",Francesco Rosi,"The unclear and complicated twists between governal powers, independentist party and Mafia in the Sicily of the '40s culminate with the death of Salvatore Giuliano."
1122,1122,My American Uncle,1980,7.6,"Comedy, Drama, Romance            ","['Gérard Depardieu', 'Nicole Garcia', 'Roger Pierre', 'Nelly Borgeaud']",Alain Resnais,The intersecting stories of three people who face difficult choices in life-changing situations are used to illustrate the theories espoused by Henri Laborit about human behavior and the relationship between the self and society.
1123,1123,Hour of the Wolf,1968,7.5,"Drama, Horror, Mystery            ","['Max von Sydow', 'Liv Ullmann', 'Gertrud Fridh', 'Georg Rydeberg']",Ingmar Bergman,"While vacationing on a remote German island with his younger pregnant wife, an artist has an emotional breakdown while confronting his repressed desires."
1124,1124,Saturday Night and Sunday Morning,1960,7.5,"Drama, Romance            ","['Albert Finney', 'Shirley Anne Field', 'Rachel Roberts', 'Hylda Baker']",Karel Reisz,"A rebellious, hard-living factory worker juggles relationships with two women, one of whom is married to another man but pregnant with his child."
1125,1125,"Duck, You Sucker!",1971,7.6,"Drama, War, Western            ","['Rod Steiger', 'James Coburn', 'Romolo Valli', 'Maria Monti']",Sergio Leone,A low-life bandit and an I.R.A. explosives expert rebel against the government and become heroes of the Mexican Revolution.
1126,1126,Father of the Bride,1950,7.1,"Comedy, Drama, Romance            ","['Spencer Tracy', 'Joan Bennett', 'Elizabeth Taylor', 'Don Taylor']",Vincente Minnelli,"The father of a young woman deals with the emotional pain of her getting married, along with the financial and organizational trouble of arranging the wedding."
1127,1127,The China Syndrome,1979,7.4,"Drama, Thriller            ","['Jane Fonda', 'Jack Lemmon', 'Michael Douglas', 'Scott Brady']",James Bridges,A reporter finds what appears to be a cover-up of safety hazards at a nuclear power plant.
1128,1128,Porco Rosso,1992,7.7,"Animation, Adventure, Comedy            ","['Shûichirô Moriyama', 'Tokiko Katô', 'Bunshi Katsura VI', 'Tsunehiko Kamijô']",Hayao Miyazaki,"In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig."
1129,1129,Twelve O'Clock High,1949,7.7,"Drama, War            ","['Gregory Peck', 'Hugh Marlowe', 'Gary Merrill', 'Millard Mitchell']",Henry King,A tough-as-nails general (Gregory Peck as General Savage) takes over a B-17 bomber unit suffering from low morale and whips them into fighting shape.
1130,1130,Mother Joan of the Angels,1961,7.5,"Drama, Horror, Mystery            ","['Lucyna Winnicka', 'Mieczyslaw Voit', 'Anna Ciepielewska', 'Maria Chwalibóg']",Jerzy Kawalerowicz,A priest is sent to a small parish in the Polish countryside which is believed to be under demonic possession and there he finds his own temptations awaiting.
1131,1131,Central Station,1998,8,Drama            ,"['Fernanda Montenegro', 'Vinícius de Oliveira', 'Marília Pêra', 'Soia Lira']",Walter Salles,"The emotive journey of a former schoolteacher who writes letters for illiterate people, and a young boy whose mother has just died, as they search for the father he never knew."
1132,1132,Ivan Vasilyevich Changes His Profession,1973,8.2,"Adventure, Comedy, Sci-Fi            ","['Yuriy Yakovlev', 'Leonid Kuravlyov', 'Aleksandr Demyanenko', 'Saveliy Kramarov']",Leonid Gaidai,"An ordinary Soviet building manager, living in the 20th century, looks like Tsar of All Rus' - Ivan IV the Terrible (1530 - 1584). He'd never known this, until his neighbor created a time machine."
1133,1133,Hard Boiled,1992,7.7,"Action, Crime, Thriller            ","['Chow Yun-Fat', 'Tony Leung Chiu-wai', 'Teresa Mo', 'Philip Chan']",John Woo,A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.
1134,1134,Earthlings,2005,8.6,Documentary            ,['Joaquin Phoenix'],Shaun Monson,"Using hidden cameras and never-before-seen footage, Earthlings chronicles the day-to-day practices of the largest industries in the world, all of which rely entirely on animals for profit."
1135,1135,Gentlemen Prefer Blondes,1953,7.1,"Comedy, Musical, Romance            ","['Jane Russell', 'Marilyn Monroe', 'Charles Coburn', 'Elliott Reid']",Howard Hawks,"Showgirls Lorelei Lee and Dorothy Shaw travel to Paris, pursued by a private detective hired by the suspicious father of Lorelei's fiancé, as well as a rich, enamored old man and many other doting admirers."
1136,1136,The Sundowners,1960,7.1,Drama            ,"['Deborah Kerr', 'Robert Mitchum', 'Peter Ustinov', 'Glynis Johns']",Fred Zinnemann,"In Australia's Outback during the early twentieth century, the impoverished Carmody family lives a nomadic life out of their wagon, but the mom and son want to settle, while the dad is against it."
1137,1137,American Movie,1999,7.8,"Documentary, Comedy            ","['Mark Borchardt', 'Mike Schank', 'Tom Schimmels', 'Monica Borchardt']",Chris Smith,Documentary about an aspiring filmmaker's attempts to finance his dream project by finally completing the low-budget horror film he abandoned years before.
1138,1138,The Lovers on the Bridge,1991,7.6,"Drama, Romance            ","['Juliette Binoche', 'Denis Lavant', 'Klaus-Michael Grüber', 'Marion Stalens']",Leos Carax,"Alex, who's homeless and addicted to alcohol, and Michèle, who's losing her sight, form a relationship while sleeping rough on Paris's Pont-Neuf bridge."
1139,1139,Moonstruck,1987,7.2,"Comedy, Drama, Romance            ","['Cher', 'Nicolas Cage', 'Olympia Dukakis', 'Danny Aiello']",Norman Jewison,"Loretta Castorini, a bookkeeper from Brooklyn, New York, finds herself in a difficult situation when she falls for the brother of the man she has agreed to marry."
1140,1140,The Pawnbroker,1964,7.6,Drama            ,"['Rod Steiger', 'Geraldine Fitzgerald', 'Brock Peters', 'Jaime Sánchez']",Sidney Lumet,"A Jewish pawnbroker, victim of Nazi persecution, loses all faith in his fellow man until he realizes too late the tragedy of his actions."
1141,1141,The Big Country,1958,7.9,"Drama, Romance, Western            ","['Gregory Peck', 'Jean Simmons', 'Carroll Baker', 'Charlton Heston']",William Wyler,"A New England sea captain in the 1880s arrives at his fiancée's sprawling Texas ranch, where he becomes embroiled in a feud between two families over a valuable patch of land."
